08 12 2018 14 19 00 00000000 00110100   -0.396   -0.096    0.330    23    21    22  13.7 1511.8 1511.8  47.4  40.7 -27.8   0.743   0.739  16.67     0 15118    0.407   256.37
08 12 2018 14 20 00 00000000 00110100   -0.123   -0.239    0.331    22    21    22  13.7 1512.1 1512.1  46.7  40.6 -27.8   0.664   0.660  16.75     0 15121    0.269   207.23
08 12 2018 14 21 00 00000000 00110100    0.035    0.035   -0.017    23    21    22  13.7 1512.3 1512.3  46.9  40.7 -28.1   0.593   0.590  16.84     0 15123    0.049    45.00
08 12 2018 14 22 00 00000000 00110100    0.017    0.210   -0.160    23    21    22  13.7 1512.5 1512.6  47.7  40.2 -27.6   0.500   0.497  16.93     0 15125    0.211     4.63
08 12 2018 14 23 00 00000000 00110100   -0.147    0.110   -0.033    23    21    22  13.7 1512.8 1512.9  47.3  40.6 -27.8   0.491   0.488  17.02     0 15128    0.184   306.81
08 12 2018 14 24 00 00000000 00110100    0.066   -0.080   -0.030    22    21    22  13.7 1513.2 1513.2  52.5  40.5 -27.8   0.364   0.362  17.13     0 15132    0.104   140.48
08 12 2018 14 25 00 00000000 00110100   -0.039   -0.064    0.032    23    21    22  13.7 1513.5 1513.5  64.6  40.7 -27.4   0.366   0.364  17.22     0 15135    0.075   211.36
08 12 2018 14 26 00 00000000 00110100   -0.116   -0.178    0.209    23    21    22  13.7 1513.5 1513.5  63.7  40.3 -27.6   0.353   0.351  17.23     0 15135    0.212   213.09
08 12 2018 14 27 00 00000000 00110100   -0.150   -0.123   -0.348    23    21    22  13.7 1513.1 1513.2  62.2  40.7 -27.9   0.476   0.473  17.11     0 15131    0.194   230.65
08 12 2018 14 28 00 00000000 00110100   -0.337    0.247    0.278    23    21    22  13.7 1512.5 1512.6  62.2  40.7 -27.8   0.508   0.505  16.91     0 15125    0.418   306.24
08 12 2018 14 29 00 00000000 00110100   -0.207    0.089   -0.021    23    22    23  13.7 1511.8 1511.8  61.8  40.7 -27.6   0.742   0.738  16.66     0 15118    0.225   293.27
08 12 2018 14 30 00 00000000 00110100   -0.065   -0.099   -0.216    23    22    23  13.7 1510.9 1511.0  62.3  40.4 -27.3   0.930   0.925  16.38     0 15109    0.118   213.29
08 12 2018 14 31 00 00000000 00110100   -0.032    0.059    0.061    23    22    23  13.7 1510.1 1510.1  60.8  40.5 -27.9   1.034   1.028  16.09     0 15101    0.067   331.53
